layer_id,neuron_idx,test_activ_l2_norm,test_activ_zero_ratio,test_avg_activ,test_max_activ,test_median_activ,test_min_activ,test_std_activ,test_var_activ
0,276,1.4505830078125,0.0,-3.8340368,208.68156,-4.202534,-260.25037,64.758644,4193.682
0,277,2.433429443359375,0.0,-75.493576,172.83186,-78.2445,-346.14005,78.38289,6143.877
0,278,1.82732666015625,0.0,-54.6835,115.47983,-49.767906,-330.26477,60.72858,3687.9604
0,279,2.1796826171875,0.0,77.17809,299.025,76.32036,-135.61742,59.544727,3545.5745
0,280,1.3915738525390624,0.0,-9.585732,177.86763,-7.23393,-232.66779,61.490402,3781.0696
0,281,2.85009716796875,0.0,-100.02049,116.866165,-100.4877,-370.731,79.00637,6242.007
0,282,1.3345223388671874,0.0,-6.4536047,150.05228,-5.1366334,-246.90736,59.3317,3520.2507
0,283,2.6458251953125,0.0,-98.73505,76.45028,-96.4605,-342.04727,65.20868,4252.1714
0,284,1.6194302978515625,0.0,37.618378,285.57416,33.452843,-142.239,61.886723,3829.9666
0,285,2.0080914306640625,0.0,-61.465782,147.77748,-62.227673,-307.92053,65.473816,4286.8203
0,286,1.952033935546875,0.0,-53.03597,126.83723,-48.02551,-320.34442,69.340164,4808.0586
0,287,1.7398232421875,0.0,-52.825302,122.050896,-50.393444,-268.40356,57.12668,3263.4575
0,288,1.7366976318359375,0.0,51.591347,239.48947,50.181686,-153.61937,58.056606,3370.5693
0,289,1.6955601806640626,0.0,44.173737,255.5156,45.80641,-175.57347,61.63221,3798.529
0,290,1.1760511474609374,0.0,-8.715737,205.96382,-11.131643,-168.80637,51.867416,2690.229
0,291,2.380234375,0.0,-89.29155,64.87184,-87.17203,-336.29745,57.948677,3358.049
0,292,1.578458251953125,0.0,-25.597887,176.20383,-21.743002,-267.68304,65.78609,4327.809
0,293,1.964764404296875,0.0,65.1042,255.37952,59.682426,-97.68077,59.008816,3482.0405
0,294,1.8126693115234376,0.0,-30.877497,192.4946,-30.666811,-274.5375,74.954124,5618.121
0,295,1.888678466796875,0.0,-57.357815,141.292,-57.011063,-279.77655,62.002365,3844.2932
0,296,3.253018798828125,0.0,-128.5437,54.04108,-129.57098,-339.20328,68.12326,4640.779
0,297,3.468790771484375,0.0,-136.10374,65.09179,-131.28458,-480.8771,74.43648,5540.789
0,298,1.3114306640625,0.0,9.583233,282.56128,2.9440613,-170.27902,57.860718,3347.8625
0,299,1.50818896484375,0.0,24.571827,211.30344,27.408855,-187.97227,62.813164,3945.4934
0,300,2.0458837890625,0.0,60.69687,321.85312,57.39843,-176.21716,68.46292,4687.1714
0,301,2.22300439453125,0.0,-74.33625,85.862785,-68.56759,-336.7302,66.012276,4357.6206
0,302,2.9757939453125,0.0,109.40185,417.86548,105.18731,-120.57224,75.775536,5741.932
0,303,1.496086669921875,0.0,-11.92064,225.9102,-15.445857,-206.8319,65.83654,4334.4497
0,304,1.4092459716796875,0.0,-5.9890676,204.34064,-9.701407,-238.06819,62.738182,3936.0796
0,305,1.437161376953125,0.0,-10.562648,198.77051,-8.087154,-240.35995,63.397915,4019.2957
0,306,3.360388916015625,0.0,127.894424,396.19287,130.28061,-90.54784,78.91415,6227.4424
0,307,1.117167236328125,0.0,8.01654,151.09277,9.448668,-153.85081,49.313896,2431.8604
0,308,1.337351806640625,0.0,21.762333,202.33127,21.509548,-183.14383,55.708355,3103.421
0,309,1.15676611328125,0.0,-22.116177,137.85323,-22.547234,-189.47214,46.76634,2187.0906
0,310,1.861953857421875,0.0,47.131393,266.5144,41.095222,-177.15248,68.64675,4712.376
0,311,1.580987548828125,0.0,-27.51973,190.12123,-22.68134,-263.22125,65.128395,4241.708
0,312,1.639066650390625,0.0,36.242367,240.71307,35.23191,-155.87285,63.714752,4059.5698
0,313,1.940851806640625,0.0,52.86273,337.45227,47.67463,-136.87642,68.84289,4739.343
0,314,1.6204849853515626,0.0,-48.11717,125.762314,-47.34033,-257.49405,54.19115,2936.6807
0,315,3.497518310546875,0.0,-142.1599,10.011935,-137.2392,-407.94998,65.23676,4255.835
0,316,1.3644676513671874,0.0,16.110607,194.41605,14.945842,-192.57465,58.85569,3463.9922
