checktype,current_epoch,issue_list,time_usage,Describe
epoch,0,[],5.9313740730285645,No Issue now
epoch,1,[],7.593274354934692,No Issue now
epoch,2,[],9.238230466842651,No Issue now
epoch,3,[],10.900254011154175,No Issue now
epoch,4,[],12.630083322525024,No Issue now
epoch,5,[],14.296181678771973,No Issue now
epoch,6,[],15.95270037651062,No Issue now
epoch,7,[],17.657652854919434,No Issue now
epoch,8,[],19.348333597183228,No Issue now
epoch,9,[],21.01790142059326,No Issue now
epoch,10,[],22.710009574890137,No Issue now
epoch,11,[],24.31622838973999,No Issue now
epoch,12,[],25.91113305091858,No Issue now
epoch,13,[],27.558138847351074,No Issue now
epoch,14,[],29.147310972213745,No Issue now
epoch,15,[],30.780957460403442,No Issue now
epoch,16,[],32.42925572395325,No Issue now
epoch,17,[],34.08724904060364,No Issue now
epoch,18,[],35.73260188102722,No Issue now
epoch,19,[],37.36744427680969,No Issue now
epoch,20,[],38.94824576377869,No Issue now
epoch,21,[],40.51065015792847,No Issue now
epoch,22,[],42.10754179954529,No Issue now
epoch,23,[],43.72365617752075,No Issue now
epoch,24,[],45.33353924751282,No Issue now
epoch,25,[],46.92073082923889,No Issue now
epoch,26,[],48.54477643966675,No Issue now
epoch,27,[],50.15900206565857,No Issue now
epoch,28,[],51.75405478477478,No Issue now
epoch,29,[],53.41837549209595,No Issue now
epoch,30,[],55.05195069313049,No Issue now
epoch,31,[],56.70169997215271,No Issue now
epoch,32,[],58.384050130844116,No Issue now
epoch,33,[],60.01033425331116,No Issue now
epoch,34,[],61.62719964981079,No Issue now
epoch,35,[],63.3113055229187,No Issue now
epoch,36,[],64.97499752044678,No Issue now
epoch,37,[],66.59129810333252,No Issue now
epoch,38,[],68.22577786445618,No Issue now
epoch,39,[],69.89014983177185,No Issue now
epoch,40,[],71.53439617156982,No Issue now
epoch,41,[],73.1846854686737,No Issue now
epoch,42,[],74.84849190711975,No Issue now
epoch,43,[],76.4863817691803,No Issue now
epoch,44,[],78.15085458755493,No Issue now
epoch,45,[],79.80524039268494,No Issue now
epoch,46,[],81.43565487861633,No Issue now
epoch,47,[],83.21489691734314,No Issue now
epoch,48,[],84.97776079177856,No Issue now
epoch,49,[],86.77129197120667,No Issue now
epoch,50,[],88.57369184494019,No Issue now
epoch,51,[],90.33495044708252,No Issue now
epoch,52,[],92.07871150970459,No Issue now
epoch,53,[],93.89254236221313,No Issue now
epoch,54,[],95.71381449699402,No Issue now
epoch,55,[],97.53148913383484,No Issue now
epoch,56,[],99.39299988746643,No Issue now
epoch,57,[],101.19712376594543,No Issue now
epoch,58,[],103.02423787117004,No Issue now
epoch,59,[],104.82659101486206,No Issue now
epoch,60,[],106.59993886947632,No Issue now
epoch,61,[],108.385324716568,No Issue now
epoch,62,[],110.15515351295471,No Issue now
epoch,63,[],111.94911313056946,No Issue now
epoch,64,[],113.76818180084229,No Issue now
epoch,65,[],115.51478123664856,No Issue now
epoch,66,[],117.25218772888184,No Issue now
epoch,67,[],119.02614736557007,No Issue now
epoch,68,[],120.82087993621826,No Issue now
epoch,69,[],122.5833466053009,No Issue now
epoch,70,[],124.26704573631287,No Issue now
epoch,71,[],125.99898386001587,No Issue now
epoch,72,[],127.8200056552887,No Issue now
epoch,73,[],129.55974316596985,No Issue now
epoch,74,[],131.3098223209381,No Issue now
epoch,75,[],133.10133576393127,No Issue now
epoch,76,[],134.84854388237,No Issue now
epoch,77,[],136.636803150177,No Issue now
epoch,78,[],138.41861081123352,No Issue now
epoch,79,[],140.0980246067047,No Issue now
epoch,80,[],141.82322669029236,No Issue now
epoch,81,[],143.59805345535278,No Issue now
epoch,82,[],145.22559666633606,No Issue now
epoch,83,[],146.87972593307495,No Issue now
epoch,84,[],148.63254737854004,No Issue now
epoch,85,[],150.3510091304779,No Issue now
epoch,86,[],152.0814654827118,No Issue now
epoch,87,[],153.86498618125916,No Issue now
epoch,88,[],155.65421104431152,No Issue now
epoch,89,[],157.43987441062927,No Issue now
epoch,90,[],159.31055545806885,No Issue now
epoch,91,[],160.96370935440063,No Issue now
epoch,92,[],162.73864769935608,No Issue now
epoch,93,[],164.45213723182678,No Issue now
epoch,94,[],166.15306282043457,No Issue now
epoch,95,[],167.8882520198822,No Issue now
epoch,96,[],169.61518025398254,No Issue now
epoch,97,[],171.38168907165527,No Issue now
epoch,98,[],173.09590220451355,No Issue now
epoch,99,[],174.7708990573883,No Issue now
