layer_id,neuron_idx,test_activ_l2_norm,test_activ_zero_ratio,test_avg_activ,test_max_activ,test_median_activ,test_min_activ,test_std_activ,test_var_activ
0,0,0.03675736904144287,0.0,0.5046149,0.8400891,0.51022625,0.18573155,0.12483865,0.015584689
0,1,0.03566995143890381,0.0,0.49948198,0.6963245,0.49525696,0.30335748,0.070617616,0.004986848
0,2,0.036771647930145264,0.0,0.49002716,0.89613914,0.49587268,0.09084832,0.1740811,0.03030423
0,3,0.03934941530227661,0.0,0.5135138,0.97117144,0.5126519,0.035473146,0.21442676,0.045978837
0,4,0.036221716403961185,0.0,0.5042179,0.7424961,0.4976613,0.2830833,0.09037036,0.008166801
0,5,0.03603726863861084,0.0,0.5054214,0.6813965,0.50375915,0.34228918,0.06546862,0.0042861397
0,6,0.040918803215026854,0.0,0.51908094,0.97970927,0.513996,0.016993633,0.25578237,0.06542461
0,7,0.03581963062286377,0.0,0.49768296,0.73750657,0.49850848,0.26009414,0.09445033,0.008920865
0,8,0.03570172071456909,0.0,0.5024175,0.6474573,0.5021182,0.33881214,0.049991697,0.00249917
0,9,0.036055898666381835,0.0,0.5014802,0.7188473,0.49865714,0.21975718,0.09232081,0.008523132
0,10,0.039193379878997806,0.0,0.5145385,0.94420224,0.5101679,0.04204388,0.20609297,0.042474315
0,11,0.035277135372161865,0.0,0.49352726,0.6923902,0.49700022,0.2725475,0.07298009,0.0053260936
0,12,0.036927595138549804,0.0,0.50791746,0.8269763,0.4964254,0.240196,0.12144668,0.014749296
0,13,0.03610034465789795,0.0,0.50626016,0.75340456,0.5060959,0.32874075,0.06593662,0.0043476373
0,14,0.03652302026748657,0.0,0.50736314,0.8282235,0.5042882,0.23863624,0.09679275,0.009368836
0,15,0.03596585988998413,0.0,0.5027295,0.73500353,0.50596076,0.28727952,0.07727687,0.0059717144
0,16,0.03601354837417602,0.0,0.5026474,0.72427016,0.50914013,0.32407492,0.08210184,0.006740712
0,17,0.03659053325653076,0.0,0.5118943,0.7265938,0.5100789,0.3058641,0.075747736,0.005737719
0,18,0.035757300853729246,0.0,0.5025126,0.72257245,0.5041033,0.37109473,0.056550656,0.0031979766
0,19,0.038942966461181644,0.0,0.52530843,0.8742605,0.5246768,0.09894593,0.16541462,0.027361995
0,20,0.0354396390914917,0.0,0.49535742,0.715654,0.49213126,0.296163,0.076253854,0.0058146506
0,21,0.03835102796554565,0.0,0.52150077,0.8712729,0.50683624,0.13889048,0.14898731,0.022197219
0,22,0.035584335327148435,0.0,0.4956519,0.7369856,0.49445403,0.3012734,0.08705276,0.0075781834
0,23,0.03551121234893799,0.0,0.49871033,0.6534776,0.49648285,0.332122,0.059137493,0.003497243
0,24,0.036315269470214843,0.0,0.5064932,0.75998116,0.50729644,0.28038248,0.08499621,0.007224355
0,25,0.03557661533355713,0.0,0.49710083,0.7404538,0.49541104,0.27335778,0.07765234,0.006029886
0,26,0.03569777965545654,0.0,0.4992221,0.75573653,0.49470764,0.33259118,0.07512367,0.005643565
0,27,0.035466139316558835,0.0,0.4943319,0.74127555,0.49629584,0.29874718,0.08488475,0.0072054206
1,0,0.032764372825622556,0.0,0.46333972,0.47391412,0.46328884,0.44812682,0.004136787,1.7113005e-05
1,1,0.031931800842285155,0.0,0.45153168,0.47135198,0.45157465,0.4361728,0.006865094,4.7129513e-05
1,2,0.03515924215316772,0.0,0.4971985,0.5076635,0.49748698,0.48423684,0.0053063957,2.8157838e-05
