model_name,layer_id,sus
48976413,L0,0.0
48976413,L1,0.0
48976413,L2,0.0
55328966,L0,0.6324928642499834
55328966,L1,0.7374410552764831
55328966,L2,0.8358886737268378
56774954,L1,0.0
56774954,L2,0.0
56774954,L3,0.0
57326611,L0,0.9031699090160867
57326611,L1,0.9076527723891011
57407973,L0,0.0
57407973,L1,0.0
57407973,L3,0.0
57407973,L5,0.0
57407973,L7,0.7682536114624434
57407973,L9,0.7416198487095663
58051767,L0,0.43216244550248356
58051767,L1,0.3659563507208358
58051767,L2,0.3580007778790785
58844149,L7,0.0
58844149,L9,0.0
58844149,L0,0.0
58844149,L2,0.0
58844149,L4,0.0
58844149,L1,0.0
58844149,L3,0.0
58844149,L5,0.0
58844149,L10,0.7314087820787311
59078187,L0,0.0
59078187,L2,0.0
60355380,L10,0.0
60355380,L11,0.0
60355380,L12,0.0
60355380,L0,0.0
60355380,L1,0.0
60355380,L3,0.0
60355380,L4,0.0
60355380,L6,0.0
60355380,L7,0.0
60355380,L2,0.0
60355380,L5,0.0
60355380,L8,0.0
60355380,L13,0.7691256413612886
60874661,L10,0.0
60874661,L13,0.0
60874661,L0,0.0
60874661,L3,0.0
60874661,L6,0.0
60874661,L2,0.0
60874661,L5,0.0
60874661,L8,0.0
60874661,L1,0.0
60874661,L4,0.0
60874661,L7,0.0
60874661,L11,0.0
60874661,L14,0.0
60801900,L0,0.5202659817144719
60801900,L1,0.468292905790847
60801900,L2,0.41039134083406165
60801900,L3,0.41039134083406165
60801900,L4,0.468292905790847
60801900,L5,0.3441236008058426
44758894,L0,0.5691060304386819
44758894,L3,0.4941068886193088
44758894,L1,0.5691060304386819
44758894,L2,0.5105554020491365
44758894,L4,0.4941068886193088
41999686,L0,0.3848789675791326
41999686,L2,0.3143581414363331
41999686,L4,0.4081100652049614
41999686,L6,0.43203539378924816
41999686,L8,0.45423356050051045
41999686,L10,0.3949144408020453
56774954,L1,0.0
56774954,L2,0.0
56774954,L3,0.0
61274792,L4,0.7042726744663603
61274792,L2,0.0
61274792,L6,0.7042726744663603
61763616,L7,0.5452926688761556
61763616,L0,0.5240376213153528
61763616,L2,0.5396637533341891
61763616,L4,0.5392269554048044
61763616,L1,0.3255439131779416
61763616,L3,0.3286694735581585
61763616,L5,0.0
61763616,L8,0.7078289688563615
61886777,L5,1.0
61886777,L0,1.0
61886777,L1,0.0
61886777,L6,1.0
62055783,L9,0.29119636267890936
62055783,L0,0.29119636267890936
62055783,L1,0.0
62055783,L4,0.0
62055783,L7,0.2866581796402877
62055783,L2,0.0
62055783,L5,0.0
62055783,L10,0.29119636267890936
64395424,L0,0.0
64395424,L1,0.0
64395424,L2,0.0
66087653,L0,0.0
66087653,L2,0.0
66087653,L4,0.0
66087653,L6,0.7092249290598858
66602662,L0,0.24642996770622042
66602662,L1,0.0
66602662,L3,0.0
66602662,L5,0.0
68101077,L1,0.5350342585189622
68101077,L2,0.30576491478243367
68321264,L7,0.0
68321264,L8,0.0
68321264,L0,0.0
68321264,L3,0.0
68321264,L2,0.0
68321264,L5,0.0
68321264,L1,0.0
68321264,L4,0.0
68321264,L9,0.16975612759821912
68751439,L0,0.0
68751439,L1,0.0
68751439,L2,0.0
68751439,L3,0.6928203230275508
68773774,L0,0.0
68773774,L1,0.0
68773774,L2,0.0
69787272,L0,0.0
69787272,L1,0.19833431393349124
69787272,L2,0.7092249290598858
