layer_id,neuron_idx,test_activ_l2_norm,test_activ_zero_ratio,test_avg_activ,test_max_activ,test_median_activ,test_min_activ,test_std_activ,test_var_activ
5,0,0.012354110717773438,0.679,0.1707995,2.4950109,0.0,0.0,0.35135677,0.12345158
5,1,0.017381620407104493,0.495,0.3089249,3.045261,0.012082346,0.0,0.45462742,0.2066861
5,2,0.012201591491699219,0.718,0.15349326,2.4748979,0.0,0.0,0.3540038,0.12531868
5,3,0.02095003128051758,0.422,0.40503564,3.082831,0.14604658,0.0,0.52426136,0.27484998
5,4,0.01316453742980957,0.625,0.19746591,2.1836417,0.0,0.0,0.3664864,0.13431227
5,5,0.014461806297302246,0.59,0.23043191,2.4965024,0.0,0.0,0.39502525,0.15604495
5,6,0.014632598876953125,0.534,0.25101155,2.1457875,0.0,0.0,0.38872376,0.15110616
5,7,0.027935468673706054,0.223,0.6564697,2.7434576,0.5583043,0.0,0.59113276,0.34943795
5,8,0.015284163475036621,0.6,0.23738773,2.3572123,0.0,0.0,0.42101392,0.17725272
5,9,0.015467904090881347,0.506,0.2759834,2.1336467,0.0,0.0,0.40384305,0.1630892
5,10,0.021437955856323243,0.37,0.42430475,2.682734,0.21691385,0.0,0.5287262,0.27955145
5,11,0.02018735885620117,0.404,0.38783848,3.1404884,0.14533123,0.0,0.50706095,0.25711077
5,12,0.013781961441040038,0.603,0.2126344,2.2442584,0.0,0.0,0.38043272,0.14472906
5,13,0.013190499305725098,0.623,0.20065647,2.2846136,0.0,0.0,0.36568597,0.13372624
5,14,0.018727270126342774,0.448,0.3473364,2.645571,0.07780725,0.0,0.4796541,0.23006806
5,15,0.02145002555847168,0.361,0.43984348,2.313941,0.24647713,0.0,0.51637316,0.26664126
5,16,0.014261871337890626,0.634,0.2072908,2.5292776,0.0,0.0,0.40053907,0.16043155
5,17,0.01617676544189453,0.505,0.28358427,2.2868927,0.0,0.0,0.42575547,0.18126772
5,18,0.018634660720825195,0.411,0.35836253,2.26043,0.16725656,0.0,0.46778932,0.21882685
5,19,0.011977944374084473,0.633,0.18220843,1.6879716,0.0,0.0,0.3320712,0.11027127
5,20,0.019475637435913087,0.438,0.36572078,2.370321,0.11572937,0.0,0.49552882,0.2455488
5,21,0.010037237167358399,0.695,0.13459235,1.6613469,0.0,0.0,0.2874561,0.082631014
5,22,0.01859863471984863,0.477,0.33526227,2.2579901,0.037456788,0.0,0.48322713,0.23350845
5,23,0.011669548034667968,0.672,0.16907035,2.0318904,0.0,0.0,0.32801455,0.10759355
5,24,0.01837697982788086,0.449,0.33809465,2.8370342,0.06926529,0.0,0.47265774,0.22340533
5,25,0.018919887542724608,0.461,0.3467457,2.763657,0.07536113,0.0,0.48757514,0.23772952
5,26,0.014377171516418458,0.599,0.2310863,2.0748184,0.0,0.0,0.39153823,0.15330218
5,27,0.019901338577270507,0.387,0.3981087,2.6406922,0.19192895,0.0,0.48741436,0.23757276
5,28,0.024583768844604493,0.316,0.5213446,2.818343,0.33935422,0.0,0.57668144,0.33256146
5,29,0.01804044723510742,0.477,0.32599604,2.192667,0.042344935,0.0,0.4681713,0.21918437
5,30,0.01462240219116211,0.624,0.21669634,2.4758403,0.0,0.0,0.40848175,0.16685733
5,31,0.022452505111694335,0.301,0.48036253,2.7225473,0.34548113,0.0,0.5228449,0.27336678
5,32,0.01173375129699707,0.584,0.1883721,1.9239622,0.0,0.0,0.31968248,0.10219688
5,33,0.015794429779052734,0.495,0.27957752,2.3466992,0.0049484055,0.0,0.41388455,0.17130043
5,34,0.019407638549804686,0.455,0.36553162,2.7701633,0.07301657,0.0,0.49299395,0.24304304
5,35,0.01659796142578125,0.514,0.2878822,2.5473733,0.0,0.0,0.43888062,0.1926162
